Transect,Soil,Nitrate,Ammonium,Ca,Mg,Potassium,Phosphorus,Fe,Mn,Cu,Zn,Boron,Sulfur,Pb,Al
T21-P,PMM,2.5,1.5,888,147,39,0.6,5,0,0.3,0.9,0.1,237,0.1,2
T21-F,FFMM,1.1,5.2,1666,327,25,2.5,417,129,0.6,3.8,0.2,53,0.9,5
T1-P,PMM,0.5,1.1,2757,277,7,0.8,6,1,0.6,1.3,1.5,158,0.2,11
T2-P,PMM,190.5,16.3,1512,359,159,1.1,31,3,0.4,0.6,0,825,0.1,8
T20-F,FFMM,1.8,2.1,2085,591,44,1.6,244,80,0.4,6.6,0.6,60,1.2,8
T16-P,PMM,3.7,1,1801,172,26,0.8,16,1,0.2,2.6,1.2,1059,0.1,10
T1-F,FFMM,4.9,1.1,2975,489,20,1.4,21,35,1.3,1.3,0.4,64,0.9,15
T19-P,PMM,7.4,1.9,2664,256,79,0.7,125,17,0.2,6.6,0.3,1091,0.3,9
T7-P,PMM,0,0.6,2292,273,21,1.1,62,5,4.2,2.9,0.2,844,1.1,4
T3-F,FFMM,7.5,2.9,2367,557,29,0.7,349,96,1,3.3,0.8,221,1.8,14
T3-P,PMM,0.1,0.7,2105,417,40,0.8,29,2,0.5,1.9,0.3,237,0.4,6
T6-F,FFMM,0.2,5.1,2649,432,34,0.8,378,165,0.4,5.9,1.4,686,0.9,14
T18-P,PMM,0.7,0.6,937,174,69,0.3,8,1,0.1,0.5,0.2,26,0.1,4
T2-F,FFMM,0,3.3,2227,380,49,1.5,299,326,0.5,4.8,0.7,76,1.7,8
T4-P,PMM,2.3,0.6,3411,345,7,1.1,23,31,1.4,1.2,0.5,138,1.5,11
T16-F,FFMM,2.2,0.7,2661,318,15,0.7,87,91,1.2,7.9,0.1,351,1.4,5
T10-P,PMM,0.1,0.5,1636,272,25,0.2,40,1,0.3,1.2,0.3,531,0.2,7
T12-P,PMM,1.3,0.2,1029,173,40,0.7,13,0,0.1,0.7,0.6,180,0.3,7
T17-P,PMM,48.5,0.6,2301,214,25,0.9,34,1,0.1,2.1,0.1,1041,0.1,5
T19-F,FFMM,0,1.4,2051,480,7,1.2,607,310,0.4,7.4,0.1,265,1.9,7
T25-P,PMM,1.2,0.2,1562,188,25,0.4,31,1,0.5,0.7,0.2,623,0.1,6
T8-F,FFMM,20.8,0.4,2634,402,10,0.8,45,54,0.9,1.2,0.2,78,1.5,8
T11-F,FFMM,2.5,1.4,2351,369,6,1.1,221,198,1.5,3.9,0.1,188,2.2,6
T15-F,FFMM,0.7,0.4,2803,410,18,1.2,157,90,1.9,4.6,0.6,506,2,11
