Transect,Material,Distance,Fraction,Species,FG,Dispersal,Total Thinned,Total Repotted,Total Pressed,Remaining,Total Count
,,,,,,,,,,,
T5,FFMM,3,500,Achillea millefolium,F,v,1,0,0,0,1
T16,FFMM,10,500,Aquelegia brevistyla?,F,g,0,0,0,1,1
T6,FFMM,3,500,Collomia linearis,F,g,8,0,1,0,9
T28,FFMM,15,500,Collomia linearis,F,g,1,0,0,0,1
T28,FFMM,20,500,Collomia linearis,F,g,2,0,0,1,3
T9,FFMM,5,500,Collomia linearis?,F,g,0,0,1,0,1
T26/28?,FFMM,10,500,Collomia linearis?,F,g,1,0,0,0,1
T8,FFMM,0,500,Corydalis sp.,F,g,0,0,0,1,1
T5,FFMM,10,500,Geranium,F,g,0,0,0,1,1
T6,FFMM,3,500,Geranium bicknelii,F,g,0,0,0,1,1
T26 at C,FFMM,0,500,Geranium bicknelii,F,g,0,0,0,1,1
T26/28?,FFMM,10,500,Geranium bicknelii,F,g,0,0,0,1,1
T28,FFMM,20,500,Geranium bicknelii,F,g,0,0,0,3,3
T26 at D,FFMM,15,500,Geranium bicknellii,F,g,0,0,0,1,1
T5,FFMM,3,500,Plantago major,F,g,20,0,0,0,20
T5,FFMM,10,500,Plantago major,F,g,32,0,0,1,33
T6,FFMM,10,500,Plantago major,F,g,3,0,0,0,3
T8,FFMM,10,500,Plantago major,F,g,0,0,0,2,2
T9,FFMM,15,500,Plantago major,F,g,1,0,0,0,1
T26,FFMM,0,212,Plantago major,F,g,1,0,0,0,1
T26,FFMM,3,500,Plantago major,F,g,1,0,0,0,1
T26/28?,FFMM,10,500,Plantago major,F,g,0,0,0,2,2
T28,FFMM,15,500,Plantago major,F,g,3,0,0,1,4
T28,FFMM,15,212,Plantago major,F,g,1,0,0,0,1
T28,FFMM,20,500,Plantago major,F,g,0,0,0,1,1
T29,FFMM,15,500,Plantago major,F,g,0,0,0,1,1
T5,FFMM,3,500,Potentilla norvegica,F,g,6,0,0,0,6
T5,FFMM,5,500,Potentilla norvegica,F,g,2,0,0,0,2
T6,FFMM,10,500,Potentilla norvegica,F,g,1,0,0,0,1
T8,FFMM,0,500,Potentilla norvegica,F,g,2,0,0,0,2
T8,FFMM,3,500,Potentilla norvegica,F,g,0,0,0,1,1
T9,FFMM,0,500,Potentilla norvegica,F,g,0,0,0,1,1
T9,FFMM,3,212,Potentilla norvegica,F,g,1,0,0,0,1
T9,FFMM,5,500,Potentilla norvegica,F,g,4,0,0,2,6
T9,FFMM,10,500,Potentilla norvegica,F,g,1,0,0,0,1
T9,FFMM,15,500,Potentilla norvegica,F,g,7,0,0,0,7
T25,FFMM,20,500,Potentilla norvegica,F,g,0,0,0,1,1
T26 at D,FFMM,0,500,Potentilla norvegica,F,g,0,0,0,1,1
T26/28?,FFMM,10,500,Potentilla norvegica,F,g,0,0,0,1,1
T26 at D,FFMM,10,500,Potentilla norvegica,F,g,0,0,0,3,3
T26 at D,FFMM,15,500,Potentilla norvegica,F,g,0,0,0,1,1
T27,FFMM,5,500,Potentilla norvegica,F,g,0,0,0,1,1
T28,FFMM,15,500,Potentilla norvegica,F,g,3,0,0,0,3
T29,FFMM,15,500,Potentilla norvegica,F,g,0,0,0,1,1
T29,FFMM,20,500,Potentilla norvegica,F,g,0,0,0,1,1
T8,FFMM,10,500,Potentilla norvegica (#8),F,g,2,0,0,1,3
T16,FFMM,5,500,Potentilla norvegica?,F,g,0,0,0,1,1
T5,FFMM,10,500,Potentilla?,F,g,0,0,0,3,3
T8,FFMM,0,212,Viola?,F,g,0,0,0,1,1
T9,PMM,15,500,Astragalus ?,F,g,1,0,0,0,1
T8,PMM,10,500,Collomia linearis,F,g,1,0,0,0,1
T28,PMM,20,500,Collomia linearis,F,g,0,0,0,1,1
T9,PMM,20,500,Corydalis sp.,F,g,0,0,0,1,1
T8,PMM,10,500,Plantago major,F,g,3,0,0,0,3
T9,PMM,20,500,Plantago major,F,g,1,0,0,0,1
T5,PMM,3,212,Potentilla norvegica,F,g,10,0,0,0,10
T6,PMM,5,500,Potentilla norvegica,F,g,8,0,0,3,11
T8,PMM,10,500,Potentilla norvegica,F,g,1,0,0,0,1
T8,PMM,15,500,Potentilla norvegica,F,g,0,0,0,1,1
T9,PMM,20,212,Potentilla norvegica,F,g,0,0,0,1,1
T26 at D,PMM,5,500,Potentilla norvegica,F,g,0,0,0,1,1
T5,PMM,3,500,Potentilla?,F,g,363,0,0,0,363
T8,PMM,5,500,Stellaria longifolia?,F,g,0,0,0,1,1
T5,FFMM,3,500,Agropyron trachycaulon,G,g,1,0,0,0,1
T25,FFMM,10,500,Carex,G,g,0,0,0,6,6
T25,FFMM,10,212,Carex,G,g,0,0,0,2,2
T25,FFMM,15,212,Carex,G,g,0,0,0,1,1
T25,FFMM,20,212,Carex,G,g,0,0,3,3,6
T27,FFMM,10,212,Carex,G,g,0,0,0,2,2
T27,FFMM,15,212,Carex,G,g,0,0,0,1,1
T5,FFMM,10,212,Carex sp.,G,g,0,0,0,1,1
T6,FFMM,3,212,Carex sp.,G,g,0,0,0,1,1
T6,FFMM,10,212,Carex sp.,G,g,0,0,0,2,2
T8,FFMM,10,212,Carex sp.,G,g,0,0,0,1,1
T9,FFMM,0,500,Carex sp.,G,g,0,0,0,1,1
T26,FFMM,0,212,Carex sp.,G,g,0,0,0,1,1
T26,FFMM,5,500,Carex sp.,G,g,0,0,0,4,4
T27,FFMM,0,350,Carex sp.,G,g,0,0,0,1,1
T28,FFMM,5,212,Carex sp.,G,g,0,0,0,2,2
T28,FFMM,20,212,Carex sp.,G,g,0,0,0,3,3
T29,FFMM,10,212,Carex sp.,G,g,0,0,0,1,1
T8,FFMM,3,212,Carex sp.1,G,g,0,0,0,1,1
T8,FFMM,10,500,Carex sp.1,G,g,0,0,0,5,5
T9,FFMM,3,500,Carex sp.1,G,g,0,0,0,1,1
T9,FFMM,10,500,Carex sp.1,G,g,0,0,0,1,1
T16,FFMM,10,500,Carex sp.1,G,g,0,0,0,1,1
T16,FFMM,10,212,Carex sp.1,G,g,0,0,0,1,1
T26,FFMM,5,212,Carex sp.1,G,g,0,0,0,6,6
T26/28?,FFMM,10,212,Carex sp.1,G,g,0,0,0,6,6
T26,FFMM,20,212,Carex sp.1,G,g,0,0,0,1,1
T29,FFMM,0,500,Carex sp.1,G,g,0,0,0,1,1
T29,FFMM,15,212,Carex sp.1,G,g,0,0,0,1,1
T9,FFMM,5,212,Carex sp.1?,G,g,0,0,0,1,1
T6,FFMM,3,500,Carex sp.2,G,g,0,0,0,1,1
