Soil,Plot,Depth,NF_Gravity,NF_Veg,NF_Wind,Graminoid,Invasive,Forbs,Total
FFMM,NTB-1,0-5cm,2,14,5,27,5,21,53
FFMM,NTB-1,5-10cm,14,10,2,21,22,26,69
FFMM,NTB-7,0-5cm,1,1,1,2,0,3,5
FFMM,NTB-7,5-10cm,1,0,4,14,1,5,20
FFMM,NTB-11,0-5cm,31,3,1,29,12,35,76
FFMM,NTB-11,5-10cm,38,5,1.00E-42,69,24,43,136
FFMM,NTB-12,0-5cm,25,11,2,31,19,38,88
FFMM,NTB-12,5-10cm,34,12,1.00E-42,30,19,46,95
FFMM,NTB-13,0-5cm,68,18,4,33,21,90,144
FFMM,NTB-13,5-10cm,26,6,1,25,8,33,66
FFMM,NTB-16,0-5cm,12,3,1,16,3,16,35
FFMM,NTB-16,5-10cm,7,2,1,13,3,10,26
FFMM,NTB-18,0-5cm,3,3,1.00E-42,41,2,6,49
FFMM,NTB-18,5-10cm,7,1.00E-42,1,25,1,8,34
PMM,NTB-25,0-5cm,1.00E-42,1.00E-42,1.00E-42,1,1.00E-42,1.00E-42,1
PMM,NTB-25,5-10cm,1.00E-42,1.00E-42,1.00E-42,3,1.00E-42,1.00E-42,3
PMM,NTB-26,0-5cm,1.00E-42,1,1.00E-42,9,1,1,11
PMM,NTB-26,5-10cm,1.00E-42,1.00E-42,1.00E-42,5,1.00E-42,1.00E-42,5
PMM,NTB-27,0-5cm,1.00E-42,1.00E-42,1.00E-42,2,1.00E-42,1.00E-42,2
PMM,NTB-27,5-10cm,1.00E-42,1.00E-42,1.00E-42,3,1.00E-42,1.00E-42,3
FFMM,NTB-28,0-5cm,41,9,7,53,29,57,139
FFMM,NTB-28,5-10cm,104,10,12,147,37,126,310
FFMM,NTB-29,0-5cm,4,3,2,23,5,9,37
FFMM,NTB-29,5-10cm,25,4,7,27,11,36,74
PMM,NTB-30,0-5cm,1.00E-42,1.00E-42,1,6,2,1,9
PMM,NTB-30,5-10cm,1.00E+00,1.00E-42,1,10,1.00E-42,2,12
PMM,NTB-31,0-5cm,1,1.00E-42,2,36,3,3,42
PMM,NTB-31,5-10cm,1,2,1.00E-42,8,4,3,15
PMM,NTB-32,0-5cm,1.00E-42,1.00E-42,3,1,1.00E-42,3,4
PMM,NTB-32,5-10cm,1.00E-42,1.00E-42,2,1,4,2,7
PMM,NTB-33,0-5cm,1,1,1,6,2,3,11
PMM,NTB-33,5-10cm,1,1,4,6,1.00E-42,6,12
FFMM,NTB-34,0-5cm,1,2,6,13,1,9,23
FFMM,NTB-34,5-10cm,1,1.00E-42,7,6,1.00E-42,8,14
PMM,NTB-35,0-5cm,1.00E-42,1.00E-42,1.00E-42,1,1,1.00E-42,2
PMM,NTB-35,5-10cm,1.00E-42,1,1,2,1.00E-42,2,4
PMM,NTB-36,0-5cm,1.00E-42,1.00E-42,1.00E-42,12,1.00E-42,1.00E-42,12
PMM,NTB-36,5-10cm,1.00E-42,1.00E-42,1.00E-42,2,1,1.00E-42,3
FFMM,NTB-37,0-5cm,2,5,2,38,7,9,54
FFMM,NTB-37,5-10cm,3,16,3,54,18,22,94
FFMM,NTB-38,0-5cm,1,1.00E-42,2,8,2,3,13
FFMM,NTB-38,5-10cm,1,1.00E-42,1,6,1.00E-42,2,8
FFMM,NTB-39,0-5cm,4,5,1.00E-42,16,1,9,26
FFMM,NTB-39,5-10cm,5,3,1,34,2,9,45
PMM,NTB-40,0-5cm,1,1,1.00E-42,2,1.00E-42,2,4
PMM,NTB-40,5-10cm,5,1,3,13,2,9,24
PMM,NTB-41,0-5cm,5,1.00E-42,1,4,2,6,12
PMM,NTB-41,5-10cm,1,1.00E-42,3,3,3,4,10
PMM,NTB-42,0-5cm,1.00E-42,1.00E-42,3,3,3,3,9
PMM,NTB-42,5-10cm,3,1.00E-42,1,19,7,4,30
PMM,NTB-43,0-5cm,3,1.00E-42,4,15,1,7,23
PMM,NTB-43,5-10cm,11,1,1,3,4,13,20
PMM,NTB-44,0-5cm,1.00E-42,1.00E-42,1,1.00E-42,1.00E-42,1,1
PMM,NTB-44,5-10cm,1.00E-42,1.00E-42,1.00E-42,1,1.00E-42,1.00E-42,1
FFMM,NTB-45,0-5cm,1,1,5,37,1.00E-42,7,44
FFMM,NTB-45,5-10cm,2,4,1.00E-42,22,1,6,29
