site_id,vegeclass
1,4
2,9
3,7
4,7
5,7
6,3
7,3
8,3
9,3
10,4
11,2
12,5
13,2
14,5
15,2
16,5
17,4
18,4
19,4
20,4
21,4
22,4
23,5
24,4
25,5
26,4
27,4
28,5
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,7
42,7
43,7
44,9
45,3
46,3
47,2
48,2
49,9
50,8
51,8
52,8
53,8
54,8
55,8
56,7
57,7
58,7
59,7
60,6
61,4
62,2
63,4
64,6
65,4
66,6
67,4
68,7
69,6
70,3
71,4
72,6
73,7
74,4
75,4
76,6
77,6
78,6
79,2
80,2
81,2
82,4
83,4
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,5
94,2
95,7
96,7
97,7
98,7
99,7
100,1
101,1
102,6
103,4
104,3
105,3
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,4
114,5
115,5
116,4
117,5
118,4
119,5
120,4
121,4
122,4
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,4
160,5
161,4
162,5
163,4
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,4
185,4
186,4
187,6
188,6
189,6
190,4
191,7
192,3
193,4
194,4
195,4
196,9
197,3
198,7
199,6
200,2
201,6
202,6
203,2
204,6
205,2
206,2
207,6
208,2
209,2
210,6
211,2
212,2
213,6
214,2
215,2
216,6
217,6
218,6
219,6
220,6
221,2
222,6
223,3
224,3
225,4
226,5
227,3
228,5
229,7
230,4
231,4
232,4
233,3
234,3
235,3
